line_item_id,quantity,product_id,product_name,price,total
1,6,45,Handcrafted Wooden Fish,8.95,53.70
2,20,49,Steel Sausages,5.35,107.00
3,11,51,Pants,9.89,108.79
4,17,54,Licensed Plastic Bike,9.30,158.10
5,7,51,Pants,9.89,69.23
6,2,6,Cotton Bike,8.34,16.68
7,6,41,Practical Steel Towels,4.49,26.94
8,5,37,Frozen Computer,2.26,11.30
9,16,24,Plastic Pants,6.62,105.92
10,18,26,Unbranded Chicken,4.86,87.48
11,5,51,Pants,9.89,49.45
12,18,39,Unbranded Wooden Hat,6.36,114.48
13,20,52,Rubber Towels,4.72,94.40
14,16,34,Concrete Pants,8.52,136.32
15,6,26,Unbranded Chicken,4.86,29.16
16,14,34,Concrete Pants,8.52,119.28
17,19,45,Handcrafted Wooden Fish,8.95,170.05
18,14,29,For repair Fresh Fish,9.26,129.64
19,14,4,Ergonomic Wooden Soap,8.99,125.86
20,9,24,Plastic Pants,6.62,59.58
21,1,13,Soft Pizza,1.81,1.81
22,11,58,Intelligent Chips,7.69,84.59
23,11,47,Tuna,9.72,106.92
24,7,14,Handcrafted Hat,3.55,24.85
25,9,6,Cotton Bike,8.34,75.06
26,15,54,Licensed Plastic Bike,9.30,139.50
27,12,9,Unbranded Wooden Keyboard,0.83,9.96
28,14,35,Practical Fish,8.83,123.62
29,6,6,Cotton Bike,8.34,50.04
30,18,1,Fantastic Shoes,2.25,40.50
31,1,51,Pants,9.89,9.89
32,1,35,Practical Fish,8.83,8.83
33,3,45,Handcrafted Wooden Fish,8.95,26.85
34,5,2,For repair Soft Table,5.19,25.95
35,5,15,Small Fish,1.34,6.70
36,16,9,Unbranded Wooden Keyboard,0.83,13.28
37,7,1,Fantastic Shoes,2.25,15.75
38,7,36,Sleek Concrete Cheese,3.92,27.44
39,16,2,For repair Soft Table,5.19,83.04
40,19,15,Small Fish,1.34,25.46
41,12,4,Ergonomic Wooden Soap,8.99,107.88
42,14,36,Sleek Concrete Cheese,3.92,54.88
43,14,45,Handcrafted Wooden Fish,8.95,125.30
44,16,44,Practical Tuna,1.00,16.00
45,13,21,Steel Car,9.18,119.34
46,9,2,For repair Soft Table,5.19,46.71
47,12,20,Licensed Cheese,3.93,47.16
48,8,33,Steel Computer,7.42,59.36
49,19,38,Wooden Mouse,5.04,95.76
50,1,12,Mouse,6.42,6.42
51,16,58,Intelligent Chips,7.69,123.04
52,19,34,Concrete Pants,8.52,161.88
53,5,14,Handcrafted Hat,3.55,17.75
54,19,49,Steel Sausages,5.35,101.65
55,11,15,Small Fish,1.34,14.74
56,16,47,Tuna,9.72,155.52
57,11,57,New Fresh Chips,7.73,85.03
58,5,5,Wooden Shoes,8.22,41.10
59,14,2,For repair Soft Table,5.19,72.66
60,18,6,Cotton Bike,8.34,150.12
61,18,55,Chair,3.62,65.16
62,10,15,Small Fish,1.34,13.40
63,9,26,Unbranded Chicken,4.86,43.74
64,1,2,For repair Soft Table,5.19,5.19
65,4,52,Rubber Towels,4.72,18.88
66,5,19,Hat,6.92,34.60
